CATALOGUENUMBER	SPECIESSUMMARY
1352	Form_cuni
1426	Form_cuni
1434	Form_cuni
1435	Form_cuni
1453	Form_cuni
1461	Form_cuni
1617	Form_cuni
1705	Form_cuni
1724	Form_cuni
1729	Form_cuni
1774	Form_cuni
1823	Form_cuni
1895	Form_cuni
1915	Form_cuni
1919	Form_cuni
1930	Form_cuni
1946	Form_cuni
1950	Form_cuni
1968	Form_cuni
1983	Form_cuni
1996	Form_cuni
2007	Form_cuni
2022	Form_cuni
2060	Form_cuni
2085	Form_cuni
2111	Form_cuni
2187	Form_cuni
2214	Form_cuni
2249	Form_cuni
2265	Form_cuni
2277	Form_cuni
2417	Form_cuni
2441	Form_cuni
2460	Form_cuni
2493	Form_cuni
2758	Form_cuni
2879	Form_cuni
3006	Form_cuni
3069	Form_cuni
3108	Form_cuni
3118	Form_cuni
3138	Form_cuni
3146	Form_cuni
3276	Form_cuni
3278	Form_cuni
3297	Form_cuni
3559	Form_cuni
3572	Form_cuni
3638	Form_cuni
3694	Form_cuni
3750	Form_cuni
3820	Form_cuni
3918	Form_cuni
3996	Form_cuni
4026	Form_cuni
4080	Form_cuni
4103	Form_cuni
4153	Form_cuni
4217	Form_cuni
4218	Form_cuni
4221	Form_cuni
4225	Form_cuni
4307	Form_cuni
4372	Form_cuni
4421	Form_cuni
4474	Form_cuni
4605	Form_cuni
4659	Form_cuni
4680	Form_cuni
4707	Form_cuni
4837	Form_cuni
4838	Form_cuni
4855	Form_cuni
4870	Form_cuni
4896	Form_cuni
4900	Form_cuni
4968	Form_cuni
4987	Form_cuni
4993	Form_cuni
5122	Form_cuni
5181	Form_cuni
5182	Form_cuni
5304	Form_cuni
5384	Form_cuni
5405	Form_cuni
5440	Form_cuni
5441	Form_cuni
5479	Form_cuni
5512	Form_cuni
5530	Form_cuni
5549	Form_cuni
5564	Form_cuni
5574	Form_cuni
5667	Form_cuni
5698	Form_cuni
5724	Form_cuni
5749	Form_cuni
5782	Form_cuni
5783	Form_cuni
5794	Form_cuni
5826	Form_cuni
5892	Form_cuni
5945	Form_cuni
5975	Form_cuni
5994	Form_cuni
6004	Form_cuni
6006	Form_cuni
6143	Form_cuni
6205	Form_cuni
6342	Form_cuni
6377	Form_cuni
6572	Form_cuni
6734	Form_cuni
6760	Form_cuni
6863	Form_cuni
6892	Form_cuni
6908	Form_cuni
6993	Form_cuni
7195	Form_cuni
7206	Form_cuni
7327	Form_cuni
7343	Form_cuni
7359	Form_cuni
7436	Form_cuni
7643	Form_cuni
7705	Form_cuni
7720	Form_cuni
7760	Form_cuni
7768	Form_cuni
7777	Form_cuni
7891	Form_cuni
7910	Form_cuni
7923	Form_cuni
7927	Form_cuni
7937	Form_cuni
8138	Form_cuni
8207	Form_cuni
8220	Form_cuni
8232	Form_cuni
8450	Form_cuni
8505	Form_cuni
8582	Form_cuni
8606	Form_cuni
8646	Form_cuni
8692	Form_cuni
8750	Form_cuni
8856	Form_cuni
8941	Form_cuni
9138	Form_cuni
9158	Form_cuni
9240	Form_cuni
9305	Form_cuni
9335	Form_cuni
9401	Form_cuni
9497	Form_cuni
9524	Form_cuni
9670	Form_cuni
9797	Form_cuni
9822	Form_cuni
9829	Form_cuni
9895	Form_cuni
9939	Form_cuni
10049	Form_cuni
10052	Form_cuni
10057	Form_cuni
10058	Form_cuni
10066	Form_cuni
10093	Form_cuni
10094	Form_cuni
10111	Form_cuni
10216	Form_cuni
10258	Form_cuni
10311	Form_cuni
10324	Form_cuni
10369	Form_cuni
10400	Form_cuni
10481	Form_cuni
10499	Form_cuni
10564	Form_cuni
10582	Form_cuni
10660	Form_cuni
10741	Form_cuni
10839	Form_cuni
10847	Form_cuni
10905	Form_cuni
11038	Form_cuni
11084	Form_cuni
11085	Form_cuni
11116	Form_cuni
11119	Form_cuni
11161	Form_cuni
11240	Form_cuni
11314	Form_cuni
11365	Form_cuni
11388	Form_cuni
11397	Form_cuni
11409	Form_cuni
11430	Form_cuni
11436	Form_cuni
11506	Form_cuni
11583	Form_cuni
11618	Form_cuni
11630	Form_cuni
11656	Form_cuni
11704	Form_cuni
11714	Form_cuni
11734	Form_cuni
11971	Form_cuni
12018	Form_cuni
12146	Form_cuni
12262	Form_cuni
12264	Form_cuni
12273	Form_cuni
12298	Form_cuni
12404	Form_cuni
12441	Form_cuni
12474	Form_cuni
12552	Form_cuni
12563	Form_cuni
12668	Form_cuni
12669	Form_cuni
12816	Form_cuni
12828	Form_cuni
12899	Form_cuni
12904	Form_cuni
12937	Form_cuni
12994	Form_cuni
13044	Form_cuni
13119	Form_cuni
13136	Form_cuni
13172	Form_cuni
13194	Form_cuni
13329	Form_cuni
13472	Form_cuni
13568	Form_cuni
13794	Form_cuni
13840	Form_cuni
14278	Form_cuni
14348	Form_cuni
14428	Form_cuni
14548	Form_cuni
14564	Form_cuni
14623	Form_cuni
14677	Form_cuni
14750	Form_cuni
14752	Form_cuni
14753	Form_cuni
14755	Form_cuni
14810	Form_cuni
14823	Form_cuni
14875	Form_cuni
14880	Form_cuni
14886	Form_cuni
14904	Form_cuni
14907	Form_cuni
15152	Form_cuni
15352	Form_cuni
15706	Form_cuni
15835	Form_cuni
15954	Form_cuni
15986	Form_cuni
16181	Form_cuni
16337	Form_cuni
16391	Form_cuni
16414	Form_cuni
16455	Form_cuni
16540	Form_cuni
16648	Form_cuni
16681	Form_cuni
16696	Form_cuni
16784	Form_cuni
16858	Form_cuni
16940	Form_cuni
16979	Form_cuni
17292	Form_cuni
17494	Form_cuni
17767	Form_cuni
17773	Form_cuni
18022	Form_cuni
18025	Form_cuni
18068	Form_cuni
18134	Form_cuni
18318	Form_cuni
18319	Form_cuni
18331	Form_cuni
18399	Form_cuni
18570	Form_cuni
18580	Form_cuni
18658	Form_cuni
18681	Form_cuni
18816	Form_cuni
18881	Form_cuni
18933	Form_cuni
19657	Form_cuni
19697	Form_cuni
19797	Form_cuni
19856	Form_cuni
19910	Form_cuni
19965	Form_cuni
19997	Form_cuni
20255	Form_cuni
9990102	Form_cuni
9990122	Form_cuni
9990123	Form_cuni
9990125	Form_cuni
9990130	Form_cuni
9990135	Form_cuni
9990138	Form_cuni
9990150	Form_cuni
9990235	Form_cuni
